"","plant_id","transition","size_t0","size_t1","leaf_length_t0","leaf_length_t1","leaf_width_t0","leaf_width_t1","no_fl","fl_stem_height","fl_infl_height","SL","surv","years","site","pr_fl"
"90",56,1,6,4,110,13,7,0.8,0,NA,NA,2,1,"2018 - 2019","Halle",0
"91",59,1,10,13,127,14.6,11,0.5,2,300,10,2,1,"2018 - 2019","Halle",1
"92",59,1,4,13,105,14.6,7,0.5,0,NA,NA,2,1,"2018 - 2019","Halle",0
"93",60,1,6,8,154,12.3,9,0.9,1,280,13,2,1,"2018 - 2019","Halle",1
"94",61,1,5,4,120,14.3,5,0.7,0,NA,NA,2,1,"2018 - 2019","Halle",0
"95",62,1,20,3,90,8,5,0.6,0,NA,NA,2,1,"2018 - 2019","Halle",0
"96",63,1,4,3,130,8.5,6,0.8,0,NA,NA,2,1,"2018 - 2019","Halle",0
"97",64,1,5,13,105,15.6,12,0.8,0,NA,NA,2,1,"2018 - 2019","Halle",0
"98",65,1,6,16,115,16.6,10,0.4,0,NA,NA,2,1,"2018 - 2019","Halle",0
"99",72,1,6,4,160,19.7,6,0.9,0,NA,NA,2,1,"2018 - 2019","Halle",0
"100",74,1,5,11,145,18,9,0.6,0,NA,NA,2,1,"2018 - 2019","Halle",0
"101",75,1,6,4,120,12.7,15,0.9,1,13,3,2,1,"2018 - 2019","Halle",1
"102",76,1,4,3,110,8.5,30,0.6,0,NA,NA,2,1,"2018 - 2019","Halle",0
"103",77,1,2,3,125,10,12,0.7,0,NA,NA,2,1,"2018 - 2019","Halle",0
"104",79,1,2,NA,75,NA,7,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"105",39,1,7,NA,50,NA,3,NA,0,NA,NA,1,0,"2018 - 2019","Halle",0
"106",40,1,3,NA,65,NA,4,NA,0,NA,NA,1,0,"2018 - 2019","Halle",0
"107",49,1,5,8,95,14.5,8,1.5,0,NA,NA,2,1,"2018 - 2019","Halle",0
"108",50,1,4,4,148,16.2,17,1.4,1,185,5,2,1,"2018 - 2019","Halle",1
"109",51,1,9,4,140,9.6,7,0.5,1,115,5,2,1,"2018 - 2019","Halle",1
"110",52,1,5,5,165,19.2,11,0.6,0,NA,NA,2,1,"2018 - 2019","Halle",0
"111",52,1,2,5,52,19.2,3,0.6,0,NA,NA,2,1,"2018 - 2019","Halle",0
"112",52,1,6,5,170,19.2,14,0.6,1,230,8,2,1,"2018 - 2019","Halle",1
"113",53,1,4,NA,124,NA,5,NA,0,NA,NA,2,0,"2018 - 2019","Halle",0
"114",10,1,5,3,93,5,12,0.5,2,255,8,1,1,"2018 - 2019","Halle",1
"115",12,1,5,3,100,8,5,0.7,0,NA,NA,1,1,"2018 - 2019","Halle",0
"116",14,1,3,3,87,14.5,4,0.7,0,NA,NA,1,1,"2018 - 2019","Halle",0
"117",16,1,6,4,85,13.5,7,1,0,NA,NA,1,1,"2018 - 2019","Halle",0
"118",16,1,4,4,55,13.5,4,1,0,NA,NA,1,1,"2018 - 2019","Halle",0
"119",16,1,3,4,35,13.5,3,1,0,NA,NA,1,1,"2018 - 2019","Halle",0
"120",18,1,5,4,100,6.7,14,0.8,2,180,10,1,1,"2018 - 2019","Halle",1
"121",20,1,3,NA,55,NA,4,NA,0,NA,NA,1,0,"2018 - 2019","Halle",0
"122",22,1,7,3,160,5.6,20,0.5,2,280,12,1,1,"2018 - 2019","Halle",1
"123",22,1,7,3,85,5.6,6,0.5,0,NA,NA,1,1,"2018 - 2019","Halle",0
"124",22,1,7,3,110,5.6,10,0.5,0,NA,NA,1,1,"2018 - 2019","Halle",0
"125",24,1,3,NA,85,NA,3,NA,0,NA,NA,1,0,"2018 - 2019","Halle",0
"126",26,1,7,4,140,11.6,15,0.7,1,90,10,1,1,"2018 - 2019","Halle",1
"127",30,1,5,8,100,14,10,0.6,0,NA,NA,1,1,"2018 - 2019","Halle",0
"128",27,1,5,NA,120,NA,8,NA,1,165,8,1,0,"2018 - 2019","Halle",1
"129",35,1,2,NA,60,NA,3,NA,0,NA,NA,1,0,"2018 - 2019","Halle",0
"130",35,1,5,NA,75,NA,2,NA,0,NA,NA,1,0,"2018 - 2019","Halle",0
"131",35,1,4,NA,63,NA,7,NA,0,NA,NA,1,0,"2018 - 2019","Halle",0
"132",8,1,NA,4,NA,9,NA,0.6,0,NA,NA,0,0,"2018 - 2019","Halle",0
"133",8,1,NA,4,NA,10,NA,0.7,0,NA,NA,0,0,"2018 - 2019","Halle",0
"134",115,1,NA,4,NA,3.6,NA,0.4,0,NA,NA,0,0,"2018 - 2019","Halle",0
"135",12,1,NA,3,NA,8,NA,0.7,0,NA,NA,0,0,"2018 - 2019","Halle",0
"136",83,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"2018 - 2019","Halle",0
"137",87,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,"2018 - 2019","Halle",0
"138",2,2,4,5,10.9,11.1,1.1,1.2,0,NA,NA,0,1,"2019 - 2020","Halle",0
"139",2,2,6,5,10.8,11.1,1.4,1.2,0,NA,NA,0,1,"2019 - 2020","Halle",0
"140",3,2,1,7,3,8.7,8.2,1.2,1,NA,NA,0,1,"2019 - 2020","Halle",1
"141",4,2,3,NA,11.5,NA,0.8,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"142",5,2,3,2,1.3,5,0.9,0.4,0,NA,NA,0,1,"2019 - 2020","Halle",0
"143",5,2,3,2,11.2,5,0.7,0.4,1,13,0.6,0,1,"2019 - 2020","Halle",1
"144",6,2,4,6,9.5,10.8,0.7,1.4,0,NA,NA,0,1,"2019 - 2020","Halle",0
"145",6,2,5,6,4,10.8,0.3,1.4,0,NA,NA,0,1,"2019 - 2020","Halle",0
"146",7,2,8,7,11.8,11.3,0.7,0.6,0,NA,NA,0,1,"2019 - 2020","Halle",0
"147",8,2,4,NA,9,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"148",8,2,4,NA,10,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"149",9,2,9,3,10.8,9.7,0.7,0.8,0,NA,NA,0,1,"2019 - 2020","Halle",0
"150",11,2,7,5,11.7,8.1,0.7,0.6,0,NA,NA,0,1,"2019 - 2020","Halle",0
"151",13,2,2,NA,3.1,NA,0.2,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"152",15,2,3,NA,6.7,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"153",17,2,7,3,10.2,12.4,0.8,0.6,0,NA,NA,0,1,"2019 - 2020","Halle",0
"154",19,2,9,NA,15.2,NA,1.2,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"155",4,2,2,NA,7,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"156",115,2,4,2,3.6,6.3,0.4,0.5,0,NA,NA,0,1,"2019 - 2020","Halle",0
"157",112,2,5,9,9.9,9.4,0.8,0.8,0,NA,NA,0,1,"2019 - 2020","Halle",0
"158",15,2,2,NA,3.5,NA,0.3,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"159",21,2,17,9,11,12.9,0.9,0.9,0,NA,NA,0,1,"2019 - 2020","Halle",0
"160",23,2,10,NA,11.5,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"161",25,2,4,NA,7.9,NA,0.3,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"162",25,2,4,NA,11.4,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"163",10,2,4,4,11.5,8.9,1,0.8,0,NA,NA,0,1,"2019 - 2020","Halle",0
"164",12,2,3,NA,8,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"165",14,2,3,NA,14.5,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"166",16,2,3,NA,14.5,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"167",16,2,6,NA,10,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"168",16,2,4,NA,13.5,NA,1,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"169",18,2,4,NA,6.7,NA,0.8,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"170",22,2,3,NA,7.4,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"171",22,2,2,NA,6.2,NA,0.4,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"172",22,2,3,NA,5.6,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"173",26,2,4,NA,13.4,NA,0.7,NA,1,18.8,0.8,0,0,"2019 - 2020","Halle",1
"174",30,2,8,NA,14,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"175",10,2,3,4,5,8.9,0.5,0.8,0,NA,NA,0,1,"2019 - 2020","Halle",0
"176",26,2,4,NA,13.8,NA,0.9,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"177",26,2,4,NA,11.6,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"178",94,2,4,NA,8.7,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"179",97,2,4,NA,10.6,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"180",98,2,3,NA,8.5,NA,0.2,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"181",114,2,1,NA,1.6,NA,0.2,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"182",78,2,5,NA,15.8,NA,0.9,NA,2,14.3,0.7,0,0,"2019 - 2020","Halle",1
"183",80,2,2,NA,4.4,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"184",81,2,13,NA,9.7,NA,0.6,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"185",82,2,4,NA,13.5,NA,1.3,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"186",88,2,4,NA,15.3,NA,0.7,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"187",90,2,3,NA,10.3,NA,0.5,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"188",99,2,1,NA,6.5,NA,0.1,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
"189",99,2,3,NA,11.5,NA,0.3,NA,0,NA,NA,0,0,"2019 - 2020","Halle",0
